history_id,employee_id,department_id,start_date,end_date
1,1,1,2024-03-04,
2,2,2,2017-04-13,
3,3,3,2019-10-01,2021-02-24
4,3,1,2021-02-25,
5,4,4,2018-07-26,
6,5,5,2024-08-03,
7,6,6,2017-12-23,2019-05-24
8,6,3,2019-05-25,
9,7,7,2021-09-25,2025-03-11
10,7,9,2025-03-12,
11,8,8,2017-05-03,2021-06-09
12,8,9,2021-06-10,
13,9,9,2019-06-15,2023-11-29
14,9,10,2023-11-30,
15,10,10,2022-09-01,
16,11,1,2017-04-19,2021-09-01
17,11,6,2021-09-02,
18,12,2,2025-01-11,
19,13,3,2019-06-22,2021-11-04
20,13,8,2021-11-05,
21,14,4,2020-02-14,2024-06-04
22,14,2,2024-06-05,
23,15,5,2018-10-16,2023-08-19
24,15,4,2023-08-20,
25,16,6,2020-02-13,
26,17,7,2025-07-25,
27,18,8,2018-01-15,
28,19,9,2021-01-10,
29,20,10,2019-12-20,
30,21,1,2022-02-25,
31,22,2,2021-03-31,
32,23,3,2020-04-15,
33,24,4,2021-01-21,2022-08-07
34,24,2,2022-08-08,
35,25,5,2019-02-27,2022-08-21
36,25,8,2022-08-22,
37,26,6,2024-06-01,
38,27,7,2020-03-31,2022-07-28
39,27,1,2022-07-29,
40,28,8,2019-08-12,2022-11-01
41,28,7,2022-11-02,
42,29,9,2020-02-13,
43,30,10,2021-02-03,
44,31,1,2020-12-26,2022-08-04
45,31,10,2022-08-05,
46,32,2,2019-12-30,2022-11-18
47,32,9,2022-11-19,
48,33,3,2024-02-14,2027-01-22
49,33,2,2027-01-23,
50,34,4,2025-03-06,
51,35,5,2022-03-09,
52,36,6,2024-03-06,2025-08-19
53,36,7,2025-08-20,
54,37,7,2024-09-05,
55,38,8,2025-08-14,
56,39,9,2017-05-12,
57,40,10,2020-01-02,
58,41,1,2023-05-13,
59,42,2,2024-05-08,2028-11-16
60,42,4,2028-11-17,
61,43,3,2024-03-18,2028-08-10
62,43,8,2028-08-11,
63,44,4,2019-12-21,
64,45,5,2025-05-10,
65,46,6,2019-12-13,2024-02-14
66,46,2,2024-02-15,
67,47,7,2021-10-21,
68,48,8,2021-06-24,
69,49,9,2018-07-21,2020-05-05
70,49,4,2020-05-06,
71,50,10,2018-01-08,
72,51,1,2018-03-26,
73,52,2,2018-10-18,
74,53,3,2017-09-18,
75,54,4,2023-09-07,
76,55,5,2019-10-27,2023-09-17
77,55,6,2023-09-18,
78,56,6,2017-02-17,
79,57,7,2023-01-09,
80,58,8,2024-03-10,
81,59,9,2020-04-17,
82,60,10,2022-02-02,
83,61,1,2025-01-26,
84,62,2,2025-07-18,2028-04-16
85,62,6,2028-04-17,
86,63,3,2018-03-12,
87,64,4,2024-03-02,2027-08-31
88,64,3,2027-09-01,
89,65,5,2019-03-26,
90,66,6,2025-07-21,
91,67,7,2025-09-25,
92,68,8,2017-01-03,
93,69,9,2020-08-20,2023-09-24
94,69,1,2023-09-25,
95,70,10,2018-04-04,
96,71,1,2020-06-13,
97,72,2,2019-09-14,2022-02-12
98,72,3,2022-02-13,
99,73,3,2017-11-19,
100,74,4,2022-06-14,
101,75,5,2022-12-22,
102,76,6,2024-05-26,2027-10-01
103,76,2,2027-10-02,
104,77,7,2018-11-08,
105,78,8,2023-10-21,
106,79,9,2023-01-18,
107,80,10,2020-06-30,
108,81,1,2024-04-15,2027-10-30
109,81,8,2027-10-31,
110,82,2,2022-10-21,
111,83,3,2019-10-13,
112,84,4,2020-10-16,
113,85,5,2023-03-19,
114,86,6,2019-06-22,2021-10-15
115,86,10,2021-10-16,
116,87,7,2024-12-09,
117,88,8,2017-10-04,2020-10-23
118,88,5,2020-10-24,
119,89,9,2020-09-15,
120,90,10,2019-09-02,2023-06-22
121,90,3,2023-06-23,
122,91,1,2022-06-12,
123,92,2,2018-06-26,
124,93,3,2023-06-19,
125,94,4,2022-04-22,
126,95,5,2018-01-22,
127,96,6,2021-11-01,
128,97,7,2021-08-11,
129,98,8,2025-03-06,
130,99,9,2024-04-30,
131,100,10,2021-07-08,2025-02-06
132,100,1,2025-02-07,
133,101,1,2018-03-24,
134,102,2,2019-02-19,
135,103,3,2018-07-29,
136,104,4,2020-02-15,
137,105,5,2017-11-05,
138,106,6,2023-03-05,
139,107,7,2024-04-25,
140,108,8,2017-03-02,
141,109,9,2025-06-14,2030-03-14
142,109,6,2030-03-15,
143,110,10,2021-07-23,
144,111,1,2019-05-26,2021-10-04
145,111,7,2021-10-05,
146,112,2,2017-08-29,
147,113,3,2017-01-09,
148,114,4,2022-02-07,
149,115,5,2024-10-24,
150,116,6,2025-01-21,
151,117,7,2019-02-17,
152,118,8,2017-08-28,2020-08-05
153,118,7,2020-08-06,
154,119,9,2025-04-02,
155,120,10,2025-05-22,
