employee_id,salary,effective_date
1,100000,2024-03-14
1,92000,2025-03-16
1,92000,2026-02-22
1,95500,2027-03-16
2,50000,2019-01-19
2,54000,2019-12-16
2,56000,2021-01-05
2,60500,2022-01-16
2,60500,2023-01-17
3,50000,2019-10-07
3,46000,2020-10-17
3,50500,2021-09-30
3,56500,2022-09-23
3,62000,2023-09-25
3,65500,2024-10-04
3,62000,2025-09-28
3,64500,2026-09-29
4,80000,2019-01-20
4,83000,2020-01-17
4,76500,2020-12-15
4,70500,2021-12-24
5,55000,2024-08-05
5,59500,2025-07-18
5,65500,2026-08-06
5,62000,2027-07-24
5,68000,2028-08-16
5,62500,2029-08-21
6,110000,2019-01-16
6,114500,2019-12-31
6,126000,2020-12-19
6,131000,2021-12-18
7,55000,2021-09-22
7,59500,2022-09-23
7,64500,2023-09-26
7,71000,2024-10-14
7,67500,2025-10-06
7,67500,2026-09-20
7,77500,2027-09-09
7,77500,2028-09-20
8,70000,2018-12-20
8,77000,2020-01-21
8,73000,2020-12-21
8,84000,2022-01-15
9,45000,2019-06-02
9,47500,2020-05-29
9,47500,2021-06-28
9,43500,2022-06-17
9,50000,2023-06-03
9,50000,2024-06-01
9,56000,2025-06-12
9,62500,2026-05-26
10,110000,2022-08-27
10,123000,2023-08-18
10,141500,2024-09-15
10,150000,2025-09-19
10,159000,2026-08-26
11,75000,2018-12-13
11,84000,2019-12-23
11,90500,2021-01-06
11,96000,2021-12-28
11,110500,2022-12-17
12,150000,2025-01-21
12,162000,2026-01-05
12,181500,2027-01-20
12,196000,2028-01-10
13,45000,2019-06-14
13,50500,2020-06-26
13,52500,2021-06-18
13,59000,2022-06-18
13,68000,2023-07-03
14,70000,2020-01-26
14,77000,2021-01-31
14,84500,2022-02-04
14,88000,2023-01-26
14,101000,2024-03-02
14,113000,2025-02-14
14,104000,2026-02-19
14,119500,2027-01-30
15,60000,2018-12-28
15,69000,2019-12-14
15,63500,2020-12-11
15,68500,2022-01-14
15,79000,2023-01-03
15,88500,2023-12-15
15,99000,2025-01-18
15,109000,2025-12-17
16,65000,2020-02-19
16,75000,2021-02-12
16,69000,2022-02-10
16,74500,2023-01-31
16,85500,2024-02-18
16,94000,2025-02-02
16,86500,2026-02-16
16,95000,2027-01-22
17,60000,2025-08-01
17,67000,2026-08-11
17,63500,2027-08-03
17,68500,2028-08-01
17,65000,2029-08-05
17,67500,2030-07-14
18,90000,2019-01-21
18,101000,2020-01-20
18,109000,2020-12-16
18,117500,2021-12-30
18,124500,2022-12-23
18,124500,2023-12-12
19,80000,2021-01-29
19,76000,2021-12-25
19,82000,2023-01-16
19,78000,2024-01-14
19,84000,2025-01-14
20,110000,2019-11-30
20,126500,2020-12-05
20,134000,2021-12-13
20,127500,2023-01-01
20,117500,2023-12-02
21,150000,2022-02-12
21,159000,2023-03-06
21,146500,2024-03-05
21,164000,2025-03-11
21,151000,2026-03-04
22,150000,2021-04-15
22,159000,2022-04-08
22,151000,2023-04-10
22,163000,2024-03-26
22,179500,2025-04-19
22,170500,2026-04-12
22,184000,2027-04-19
23,80000,2020-03-30
23,86500,2021-04-13
23,97000,2022-04-12
23,89000,2023-04-15
23,94500,2024-03-30
23,102000,2025-04-03
24,120000,2021-01-10
24,125000,2022-01-14
24,144000,2023-01-27
24,132500,2024-01-22
24,152500,2025-01-29
24,164500,2026-01-03
24,189000,2027-01-26
25,120000,2019-02-08
25,138000,2020-03-14
25,138000,2021-03-08
25,152000,2022-02-28
25,175000,2023-03-02
25,161000,2024-03-11
25,174000,2025-03-15
25,188000,2026-03-08
26,75000,2024-06-12
26,86000,2025-05-13
26,99000,2026-06-02
26,94000,2027-05-22
26,86500,2028-05-19
26,99500,2029-05-12
27,100000,2020-03-12
27,115000,2021-03-16
27,109000,2022-03-19
27,109000,2023-03-22
27,125500,2024-03-26
27,135500,2025-03-30
27,152000,2026-04-08
27,175000,2027-03-31
28,135000,2019-08-18
28,140500,2020-08-07
28,140500,2021-08-21
28,140500,2022-08-25
28,151500,2023-08-13
28,151500,2024-07-25
29,60000,2020-02-05
29,63500,2021-01-24
29,67500,2022-02-07
29,70000,2023-02-22
30,60000,2021-02-12
30,67000,2022-01-30
30,69500,2023-01-24
30,76500,2024-01-24
30,76500,2025-01-19
30,88000,2026-02-01
30,95000,2027-02-07
30,102500,2028-01-17
31,120000,2020-12-25
31,125000,2022-01-13
31,125000,2023-01-11
31,115000,2023-12-28
32,110000,2020-01-02
32,101000,2020-12-13
32,101000,2021-12-30
32,96000,2023-01-04
32,110500,2023-12-15
32,105000,2024-12-31
32,120500,2025-12-17
33,120000,2024-02-27
33,110500,2025-02-10
33,105000,2026-02-23
33,115500,2027-02-20
33,124500,2028-02-13
34,65000,2025-03-14
34,62000,2026-03-01
34,71500,2027-03-22
34,71500,2028-03-06
35,150000,2022-03-09
35,142500,2023-02-28
35,159500,2024-03-01
35,178500,2025-03-04
35,196500,2026-03-05
35,196500,2027-03-23
35,212000,2028-03-20
36,60000,2024-03-12
36,55000,2025-03-17
36,52000,2026-03-01
36,49500,2027-03-17
37,50000,2024-09-03
37,57500,2025-08-30
37,63500,2026-08-31
37,71000,2027-09-22
38,90000,2025-08-27
38,103500,2026-08-16
38,116000,2027-08-29
38,110000,2028-08-15
38,121000,2029-08-10
38,130500,2030-08-09
38,141000,2031-07-31
39,50000,2019-01-15
39,54000,2019-12-23
39,51500,2020-12-24
39,47500,2021-12-28
39,52500,2023-01-18
39,56500,2023-12-17
40,60000,2020-01-05
40,66000,2020-12-23
40,60500,2021-12-12
40,66500,2022-12-20
40,66500,2023-12-14
40,73000,2025-01-15
41,110000,2023-05-24
41,110000,2024-04-28
41,121000,2025-05-28
41,115000,2026-05-22
41,129000,2027-05-20
42,45000,2024-05-04
42,47000,2025-05-18
42,54000,2026-04-22
42,56000,2027-05-19
42,56000,2028-05-23
43,55000,2024-04-03
43,57000,2025-03-17
43,59500,2026-03-13
43,68500,2027-04-02
43,74000,2028-04-04
44,75000,2019-12-29
44,82500,2020-12-28
44,95000,2022-01-06
44,95000,2022-12-19
44,99000,2024-01-08
44,107000,2024-12-12
44,111500,2025-12-15
44,120500,2026-12-09
45,90000,2025-04-24
45,90000,2026-04-30
45,85500,2027-05-16
45,81000,2028-05-27
45,81000,2029-05-07
46,65000,2019-12-11
46,67500,2020-12-21
46,74000,2021-12-06
46,80000,2023-01-01
46,83000,2023-12-19
47,60000,2021-10-10
47,63500,2022-10-18
47,63500,2023-10-05
47,70000,2024-10-10
47,77000,2025-11-07
47,80000,2026-10-28
47,88000,2027-10-29
47,97000,2028-10-24
48,90000,2021-07-05
48,93500,2022-07-02
48,93500,2023-07-12
48,104500,2024-06-30
48,115000,2025-07-11
48,119500,2026-06-04
48,119500,2027-06-17
48,119500,2028-06-19
49,80000,2019-01-14
49,88000,2020-01-09
49,101000,2020-12-22
49,96000,2022-01-20
49,91000,2022-12-16
50,75000,2019-01-02
50,78000,2020-01-01
50,87500,2020-12-21
50,83000,2022-01-06
50,95500,2022-12-29
50,95500,2024-01-15
51,50000,2019-01-01
51,56000,2019-12-28
51,64500,2020-12-18
51,64500,2022-01-12
51,61500,2023-01-14
51,61500,2024-01-06
51,56500,2024-12-22
52,100000,2019-01-12
52,95000,2020-01-21
52,102500,2020-12-14
52,94500,2021-12-28
52,104000,2022-12-19
52,99000,2024-01-08
53,45000,2019-01-21
53,48500,2020-01-19
53,53500,2020-12-21
53,53500,2022-01-15
54,75000,2023-08-23
54,78000,2024-08-31
54,81000,2025-09-15
54,77000,2026-08-26
54,71000,2027-09-04
54,81500,2028-09-02
54,77500,2029-09-15
54,73500,2030-08-31
55,55000,2019-10-31
55,50500,2020-10-18
55,52500,2021-10-14
55,60500,2022-10-23
55,55500,2023-10-27
55,55500,2024-10-22
55,61000,2025-10-23
55,58000,2026-11-11
56,80000,2019-01-15
56,89500,2020-01-11
56,82500,2021-01-01
56,95000,2022-01-14
56,106500,2023-01-09
57,120000,2023-01-04
57,138000,2024-01-25
57,158500,2025-01-02
57,177500,2025-12-21
57,204000,2027-01-18
58,110000,2024-02-28
58,110000,2025-03-21
58,101000,2026-02-26
58,113000,2027-03-27
58,107500,2028-02-24
58,99000,2029-02-23
58,99000,2030-03-18
59,75000,2020-04-06
59,71000,2021-04-01
59,79500,2022-04-13
59,91500,2023-05-06
59,102500,2024-04-01
60,75000,2022-02-02
60,71000,2023-02-22
60,71000,2024-02-16
60,74000,2025-02-20
60,81500,2026-01-27
60,85000,2027-01-26
60,88500,2028-02-08
60,92000,2029-02-20
61,55000,2025-01-25
61,55000,2026-01-07
61,55000,2027-01-26
61,61500,2028-01-24
61,70500,2029-01-28
61,76000,2030-01-14
61,87500,2031-02-07
62,110000,2025-07-09
62,116500,2026-07-08
62,134000,2027-07-03
62,144500,2028-08-05
62,153000,2029-07-28
62,145500,2030-07-11
62,160000,2031-08-06
62,176000,2032-07-25
63,135000,2019-01-10
63,124000,2019-12-30
63,129000,2020-12-21
63,144500,2022-01-08
64,65000,2024-03-22
64,71500,2025-03-09
64,78500,2026-03-11
64,90500,2027-02-22
64,94000,2028-03-11
64,108000,2029-02-24
64,121000,2030-03-17
64,133000,2031-03-17
65,45000,2019-03-31
65,45000,2020-03-22
65,45000,2021-04-10
65,43000,2022-04-12
65,46500,2023-03-23
65,52000,2024-04-11
66,110000,2025-07-13
66,121000,2026-08-09
66,126000,2027-07-09
66,126000,2028-08-09
66,119500,2029-07-19
67,100000,2025-09-28
67,104000,2026-09-13
67,116500,2027-09-23
67,123500,2028-09-30
68,55000,2019-01-15
68,50500,2020-01-04
68,55500,2021-01-12
68,61000,2021-12-21
68,67000,2023-01-10
69,135000,2020-08-07
69,140500,2021-08-29
69,151500,2022-08-09
69,139500,2023-08-25
69,145000,2024-08-22
69,145000,2025-08-24
70,90000,2018-12-19
70,101000,2020-01-10
70,116000,2020-12-27
70,130000,2022-01-20
70,140500,2022-12-17
70,140500,2024-01-10
71,90000,2020-06-13
71,97000,2021-07-02
71,92000,2022-05-28
71,106000,2023-06-12
71,112500,2024-05-30
71,112500,2025-05-25
71,107000,2026-06-11
71,111500,2027-05-30
72,90000,2019-09-02
72,85500,2020-09-17
72,78500,2021-09-16
72,83000,2022-09-19
72,86500,2023-09-19
73,100000,2019-01-07
73,100000,2019-12-29
73,108000,2021-01-03
73,102500,2022-01-08
73,115000,2022-12-26
73,129000,2023-12-17
73,144500,2025-01-13
74,75000,2022-06-11
74,78000,2023-06-06
74,81000,2024-06-22
74,81000,2025-06-06
75,135000,2022-12-23
75,143000,2023-12-17
75,154500,2025-01-06
75,142000,2025-12-05
76,100000,2024-05-19
76,112000,2025-05-20
76,112000,2026-05-15
76,118500,2027-05-23
76,109000,2028-05-13
