promotion_id,employee_id,promotion_date,old_title,new_title
1,2,2019-02-27,Senior Analyst,Lead
2,2,2020-01-25,Associate,Senior Analyst
3,3,2019-10-30,Analyst,Senior Analyst
4,3,2020-10-26,Senior Analyst,Senior Analyst
5,3,2021-10-08,Associate,Senior Developer
6,4,2019-02-12,Senior Analyst,Senior Analyst
7,4,2020-02-24,Analyst,Manager
8,5,2024-08-28,Senior Analyst,Senior Analyst
9,5,2025-08-23,Analyst,Lead
10,6,2019-02-05,Developer,Senior Developer
11,6,2020-01-07,Associate,Senior Developer
12,6,2021-01-19,Senior Analyst,Senior Analyst
13,7,2021-10-08,Senior Analyst,Senior Developer
14,7,2022-11-01,Developer,Manager
15,8,2018-12-27,Analyst,Senior Analyst
16,9,2019-06-13,Senior Analyst,Senior Analyst
17,9,2020-07-11,Developer,Lead
18,9,2021-08-12,Associate,Lead
19,10,2022-09-06,Analyst,Lead
20,10,2023-09-19,Analyst,Senior Analyst
21,11,2018-12-21,Analyst,Manager
22,13,2019-07-19,Developer,Manager
23,13,2020-07-31,Analyst,Senior Analyst
24,15,2019-01-22,Senior Analyst,Manager
25,15,2020-01-09,Associate,Senior Developer
26,16,2020-03-31,Associate,Manager
27,16,2021-03-13,Developer,Senior Developer
28,17,2025-08-09,Senior Analyst,Senior Analyst
29,19,2021-02-17,Analyst,Senior Developer
30,20,2020-01-14,Analyst,Lead
31,20,2021-01-07,Developer,Senior Analyst
32,21,2022-02-24,Developer,Senior Developer
33,21,2023-04-15,Developer,Senior Analyst
34,22,2021-05-22,Analyst,Senior Developer
35,23,2020-05-05,Associate,Senior Analyst
36,23,2021-04-18,Associate,Lead
37,24,2021-02-15,Senior Analyst,Senior Analyst
38,25,2019-03-20,Developer,Lead
39,25,2020-04-13,Analyst,Manager
40,25,2021-03-27,Senior Analyst,Senior Analyst
41,27,2020-04-09,Senior Analyst,Manager
42,28,2019-08-31,Developer,Senior Developer
43,28,2020-08-27,Developer,Lead
44,28,2021-09-15,Analyst,Lead
45,30,2021-02-27,Senior Analyst,Senior Analyst
46,30,2022-02-16,Senior Analyst,Senior Developer
47,31,2020-12-31,Associate,Lead
48,32,2020-02-10,Senior Analyst,Senior Developer
49,32,2020-12-23,Developer,Lead
50,32,2022-01-11,Analyst,Manager
51,33,2024-03-29,Developer,Manager
52,33,2025-02-11,Associate,Manager
53,33,2026-03-27,Senior Analyst,Senior Developer
54,34,2025-04-20,Developer,Senior Analyst
55,36,2024-04-12,Senior Analyst,Lead
56,36,2025-04-20,Associate,Senior Analyst
57,37,2024-09-11,Developer,Lead
58,37,2025-09-24,Developer,Senior Analyst
59,37,2026-09-25,Associate,Senior Developer
60,38,2025-10-01,Developer,Senior Analyst
61,38,2026-09-09,Senior Analyst,Lead
62,40,2020-01-11,Senior Analyst,Lead
63,41,2023-06-28,Developer,Senior Developer
64,41,2024-05-10,Senior Analyst,Senior Analyst
65,44,2020-02-12,Developer,Manager
66,45,2025-05-03,Analyst,Lead
67,45,2026-06-08,Developer,Senior Developer
68,45,2027-06-10,Developer,Lead
69,46,2020-01-25,Developer,Manager
70,46,2020-12-22,Developer,Lead
71,46,2022-01-18,Associate,Manager
72,47,2021-11-23,Associate,Manager
73,47,2022-11-03,Analyst,Senior Analyst
74,48,2021-07-15,Senior Analyst,Senior Developer
75,48,2022-08-14,Analyst,Senior Analyst
76,48,2023-08-17,Associate,Senior Developer
77,50,2019-01-22,Senior Analyst,Senior Developer
78,50,2020-01-27,Analyst,Manager
79,50,2021-01-22,Senior Analyst,Senior Analyst
80,51,2019-02-03,Analyst,Lead
81,52,2019-02-14,Senior Analyst,Lead
82,52,2020-02-01,Senior Analyst,Lead
83,52,2021-01-17,Developer,Lead
84,53,2019-02-02,Analyst,Lead
85,53,2020-02-23,Developer,Senior Developer
86,53,2021-01-09,Developer,Senior Developer
87,54,2023-09-12,Senior Analyst,Lead
88,54,2024-10-05,Developer,Lead
89,54,2025-09-22,Senior Analyst,Manager
90,55,2019-11-09,Developer,Senior Analyst
91,55,2020-11-05,Associate,Lead
92,56,2019-02-25,Developer,Manager
93,56,2020-01-24,Analyst,Lead
94,56,2021-02-05,Developer,Senior Developer
95,58,2024-03-14,Associate,Senior Developer
96,59,2020-04-09,Associate,Manager
97,60,2022-03-19,Senior Analyst,Senior Analyst
98,60,2023-04-06,Analyst,Senior Analyst
99,61,2025-02-20,Senior Analyst,Manager
100,62,2025-07-27,Developer,Lead
101,65,2019-05-04,Associate,Senior Developer
102,66,2025-07-24,Associate,Manager
103,66,2026-09-09,Analyst,Lead
104,66,2027-07-11,Associate,Lead
105,68,2019-02-02,Senior Analyst,Manager
106,68,2020-01-12,Senior Analyst,Lead
107,69,2020-08-14,Developer,Senior Developer
108,70,2019-01-29,Developer,Senior Developer
109,70,2020-01-10,Developer,Lead
110,70,2021-02-01,Analyst,Senior Developer
111,71,2020-07-10,Developer,Senior Analyst
112,71,2021-07-27,Associate,Senior Developer
113,71,2022-06-05,Senior Analyst,Lead
114,72,2019-09-02,Developer,Manager
115,73,2019-02-04,Developer,Lead
116,74,2022-07-18,Associate,Lead
117,74,2023-07-17,Developer,Senior Developer
118,77,2019-01-11,Analyst,Manager
119,77,2020-01-31,Developer,Senior Analyst
120,77,2021-01-28,Developer,Lead
121,78,2023-10-23,Analyst,Manager
122,79,2023-02-10,Developer,Manager
123,80,2020-07-19,Analyst,Senior Developer
124,80,2021-08-12,Associate,Manager
125,80,2022-07-17,Developer,Senior Analyst
126,83,2019-12-03,Analyst,Senior Developer
127,84,2020-12-06,Senior Analyst,Senior Analyst
128,84,2021-11-27,Analyst,Manager
129,86,2019-06-22,Senior Analyst,Senior Developer
130,86,2020-07-22,Senior Analyst,Manager
131,86,2021-07-29,Associate,Manager
132,87,2024-12-15,Senior Analyst,Lead
