employee_id,salary,effective_date,end_date
1,100000,2024-03-14,2025-03-15
1,92000,2025-03-16,2026-02-21
1,92000,2026-02-22,2027-03-15
1,95500,2027-03-16,
2,50000,2019-01-19,2019-12-15
2,54000,2019-12-16,2021-01-04
2,56000,2021-01-05,2022-01-15
2,60500,2022-01-16,2023-01-16
2,60500,2023-01-17,
3,50000,2019-10-07,2020-10-16
3,46000,2020-10-17,2021-09-29
3,50500,2021-09-30,2022-09-22
3,56500,2022-09-23,2023-09-24
3,62000,2023-09-25,2024-10-03
3,65500,2024-10-04,2025-09-27
3,62000,2025-09-28,2026-09-28
3,64500,2026-09-29,
4,80000,2019-01-20,2020-01-16
4,83000,2020-01-17,2020-12-14
4,76500,2020-12-15,2021-12-23
4,70500,2021-12-24,
5,55000,2024-08-05,2025-07-17
5,59500,2025-07-18,2026-08-05
5,65500,2026-08-06,2027-07-23
5,62000,2027-07-24,2028-08-15
5,68000,2028-08-16,2029-08-20
5,62500,2029-08-21,
6,110000,2019-01-16,2019-12-30
6,114500,2019-12-31,2020-12-18
6,126000,2020-12-19,2021-12-17
6,131000,2021-12-18,
7,55000,2021-09-22,2022-09-22
7,59500,2022-09-23,2023-09-25
7,64500,2023-09-26,2024-10-13
7,71000,2024-10-14,2025-10-05
7,67500,2025-10-06,2026-09-19
7,67500,2026-09-20,2027-09-08
7,77500,2027-09-09,2028-09-19
7,77500,2028-09-20,
8,70000,2018-12-20,2020-01-20
8,77000,2020-01-21,2020-12-20
8,73000,2020-12-21,2022-01-14
8,84000,2022-01-15,
9,45000,2019-06-02,2020-05-28
9,47500,2020-05-29,2021-06-27
9,47500,2021-06-28,2022-06-16
9,43500,2022-06-17,2023-06-02
9,50000,2023-06-03,2024-05-31
9,50000,2024-06-01,2025-06-11
9,56000,2025-06-12,2026-05-25
9,62500,2026-05-26,
10,110000,2022-08-27,2023-08-17
10,123000,2023-08-18,2024-09-14
10,141500,2024-09-15,2025-09-18
10,150000,2025-09-19,2026-08-25
10,159000,2026-08-26,
11,75000,2018-12-13,2019-12-22
11,84000,2019-12-23,2021-01-05
11,90500,2021-01-06,2021-12-27
11,96000,2021-12-28,2022-12-16
11,110500,2022-12-17,
12,150000,2025-01-21,2026-01-04
12,162000,2026-01-05,2027-01-19
12,181500,2027-01-20,2028-01-09
12,196000,2028-01-10,
13,45000,2019-06-14,2020-06-25
13,50500,2020-06-26,2021-06-17
13,52500,2021-06-18,2022-06-17
13,59000,2022-06-18,2023-07-02
13,68000,2023-07-03,
14,70000,2020-01-26,2021-01-30
14,77000,2021-01-31,2022-02-03
14,84500,2022-02-04,2023-01-25
14,88000,2023-01-26,2024-03-01
14,101000,2024-03-02,2025-02-13
14,113000,2025-02-14,2026-02-18
14,104000,2026-02-19,2027-01-29
14,119500,2027-01-30,
15,60000,2018-12-28,2019-12-13
15,69000,2019-12-14,2020-12-10
15,63500,2020-12-11,2022-01-13
15,68500,2022-01-14,2023-01-02
15,79000,2023-01-03,2023-12-14
15,88500,2023-12-15,2025-01-17
15,99000,2025-01-18,2025-12-16
15,109000,2025-12-17,
16,65000,2020-02-19,2021-02-11
16,75000,2021-02-12,2022-02-09
16,69000,2022-02-10,2023-01-30
16,74500,2023-01-31,2024-02-17
16,85500,2024-02-18,2025-02-01
16,94000,2025-02-02,2026-02-15
16,86500,2026-02-16,2027-01-21
16,95000,2027-01-22,
17,60000,2025-08-01,2026-08-10
17,67000,2026-08-11,2027-08-02
17,63500,2027-08-03,2028-07-31
17,68500,2028-08-01,2029-08-04
17,65000,2029-08-05,2030-07-13
17,67500,2030-07-14,
18,90000,2019-01-21,2020-01-19
18,101000,2020-01-20,2020-12-15
18,109000,2020-12-16,2021-12-29
18,117500,2021-12-30,2022-12-22
18,124500,2022-12-23,2023-12-11
18,124500,2023-12-12,
19,80000,2021-01-29,2021-12-24
19,76000,2021-12-25,2023-01-15
19,82000,2023-01-16,2024-01-13
19,78000,2024-01-14,2025-01-13
19,84000,2025-01-14,
20,110000,2019-11-30,2020-12-04
20,126500,2020-12-05,2021-12-12
20,134000,2021-12-13,2022-12-31
20,127500,2023-01-01,2023-12-01
20,117500,2023-12-02,
21,150000,2022-02-12,2023-03-05
